domain,adapter,name,n_probes,base_nll,isolated_nll,merged_nll,retention
skills,0,a0,50,5.071562597751617,3.5581814861297607,4.617201781272888,0.30022894629086594
skills,1,a1,50,4.743142187595367,3.3860515356063843,4.500454664230347,0.1788292646547468
skills,2,a2,50,5.7976866674423215,0.7001511991024018,10.046009006500244,-0.833407117114468
skills,3,a3,50,3.4935709762573244,2.6225193601846697,2.8560034894943236,0.7319514423698872
skills,4,a4,50,10.691694250106812,0.6508124390244484,9.56126377105713,0.11258278907356511
skills,5,a5,50,1.411646624803543,0.6742145674442872,1.0407003808021544,0.5030242993907088
skills,6,a6,50,1.416083744764328,0.2510070160636678,0.7719315093755722,0.552883959932098
skills,7,a7,50,2.355799992084503,1.3762249821424484,1.7629720163345337,0.6051889541210705
skills,8,a8,50,11.395964535799893,0.7015341886065223,8.558513413776051,0.26532045465783016
skills,9,a9,50,11.374429202661283,1.4072785995355466,11.590769802651755,-0.021705360800169604
skills,10,a10,50,2.0574466037750243,0.5340696789853019,2.1123750185966492,-0.03605700856287218
skills,11,a11,50,1.4775208735466003,0.8831923402100802,1.2458697366714477,0.3897695026935335
skills,12,a12,50,4.05482383966446,2.8495640647411347,3.228825706243515,0.6853278858273456
skills,13,a13,50,4.508827128831078,2.635512378285913,4.001889695139492,0.27060985536149723
skills,14,a14,50,13.78303768418052,0.5788260683925315,13.413254044272684,0.028004976795865243
skills,15,a15,50,10.907844066619873,0.5496065141982399,9.013870372772217,0.1828470996405047
skills,16,a16,50,5.13515065908432,0.2956713809072971,3.4989703834056853,0.3380901501235408
skills,17,a17,50,6.688507566452026,0.2724602828419302,7.676691908836364,-0.15401762155161672
skills,18,a18,50,2.6393684363365173,1.4124424439668655,1.7458597135543823,0.7282498930978195
skills,19,a19,50,2.196027604341507,1.4460679852962495,1.8513110280036926,0.45964684975526915
facts,0,shard_0,50,2.150079618692398,0.9535251877456904,1.780773534476757,0.30864127419882437
facts,1,shard_1,50,2.268373383283615,1.08808683604002,1.8492719614505768,0.355084468946795
facts,2,shard_2,50,2.3624398851394655,1.0355997323989867,1.8734770047664642,0.3685167948551217
facts,3,shard_3,50,1.971928346157074,0.8367583805322647,1.5979153484106063,0.32947753118239614
facts,4,shard_4,50,2.1657077622413636,0.94384406670928,1.728150344491005,0.3581065706022275
facts,5,shard_5,50,2.0085702085494996,0.9092967316508294,1.6561854314804076,0.32056152038095104
facts,6,shard_6,50,2.220139592885971,0.9617819392681122,1.679720891714096,0.4294635150969493
facts,7,shard_7,50,2.210574663877487,0.9690145158022642,1.8036085969209672,0.3277860259830624
facts,8,shard_8,50,2.2921394991874693,0.9775523954629898,1.7746879816055299,0.39362284637959644
facts,9,shard_9,50,2.2042907238006593,0.9483565622568131,1.7395779260993003,0.3700136614885248
facts,10,shard_10,50,2.277812659740448,1.0341842609643936,1.9454111754894257,0.26728360704705917
facts,11,shard_11,50,2.2100086581707,1.0055772452801466,1.8354500913619995,0.3109837246022879
facts,12,shard_12,50,2.1513053393363952,0.991699125468731,1.7756065118312836,0.3239882841365896
facts,13,shard_13,50,2.2312192833423614,0.8922300700470805,1.8599803429841995,0.2772531224837391
facts,14,shard_14,50,2.039101217985153,0.8834387156367302,1.7006764829158783,0.2928404567783082
facts,15,shard_15,50,2.247304229736328,0.9280301664024592,1.8954019916057587,0.2667392984603179
facts,16,shard_16,50,2.1589431405067443,0.9488994163274765,1.8021822237968446,0.29483307882273324
facts,17,shard_17,50,2.419995656013489,1.0836608198285103,2.004445115327835,0.31096288851676135
facts,18,shard_18,50,2.1690878403186797,1.0491522028297187,1.8354526925086976,0.297905644433313
facts,19,shard_19,50,1.9912149840593338,0.8431752768252045,1.7076043221354484,0.24703907028369562
