domain,adapter,name,n_probes,base_nll,isolated_nll,merged_nll,retention
skills,0,a0,50,5.071562597751617,3.543128499984741,6.88403745174408,-1.1858377516181986
skills,1,a1,50,4.743142187595367,3.427693486213684,5.883692741394043,-0.8670429737022026
skills,2,a2,50,5.7976866674423215,0.73222650796175,12.80688175201416,-1.383723267757491
skills,3,a3,50,3.4935709762573244,2.574485530257225,4.898907358646393,-1.5290595542614178
skills,4,a4,50,10.691694250106812,0.6308239841461182,14.665541229248047,-0.39498044146201705
skills,5,a5,50,1.411646624803543,0.6467179796588607,2.673113535642624,-1.6491301755348444
skills,6,a6,50,1.416083744764328,0.23600699713337236,1.8280694475769996,-0.3491177193684623
skills,7,a7,50,2.355799992084503,1.3803779020905496,4.558285508155823,-2.2579819943230652
skills,8,a8,50,11.395964535799893,0.5977954654531046,12.360950036482377,-0.08936565952949035
skills,9,a9,50,11.374429202661283,1.3859160215389439,14.104755878448486,-0.2733466559314703
skills,10,a10,50,2.0574466037750243,0.43042899577070787,7.953638687133789,-3.6239264125672093
skills,11,a11,50,1.4775208735466003,0.8831744378805161,3.6449630641937256,-3.646765691827649
skills,12,a12,50,4.05482383966446,2.8738508474826814,6.61791175365448,-2.1703188226640693
skills,13,a13,50,4.508827128831078,2.6523574064759647,7.000398320310256,-1.3421017113698874
skills,14,a14,50,13.78303768418052,0.5572748536413367,16.162152420390736,-0.17988487822544938
skills,15,a15,50,10.907844066619873,0.533390361214988,13.773348188400268,-0.2762077120540356
skills,16,a16,50,5.13515065908432,0.32995210997760294,8.706678686141968,-0.7432633616610063
skills,17,a17,50,6.688507566452026,0.1984990409296006,9.203036336898803,-0.3874461428761167
skills,18,a18,50,2.6393684363365173,1.399299064874649,3.637357778549194,-0.8047850912051695
skills,19,a19,50,2.196027604341507,1.4566369235515595,4.62738486289978,-3.288325538483483
facts,0,shard_0,50,2.150079618692398,0.9289743690937757,13.84698501586914,-9.578949399342537
facts,1,shard_1,50,2.268373383283615,1.0467025390267373,13.505712566375733,-9.198336226095014
facts,2,shard_2,50,2.3624398851394655,0.9949301832914352,13.408890552520752,-8.077785958266544
facts,3,shard_3,50,1.971928346157074,0.8260853923857212,13.109315395355225,-9.719819816966435
facts,4,shard_4,50,2.1657077622413636,0.9090707696974277,14.14388074874878,-9.531927722626408
facts,5,shard_5,50,2.0085702085494996,0.8569304758310318,13.812470951080321,-10.249647009544804
facts,6,shard_6,50,2.220139592885971,0.9275599756836891,13.728402404785156,-8.903329944818555
facts,7,shard_7,50,2.210574663877487,0.9281011205911637,14.065750846862793,-9.243992786476168
facts,8,shard_8,50,2.2921394991874693,0.9297472688555718,13.542883453369141,-8.258079944746042
facts,9,shard_9,50,2.2042907238006593,0.907396387308836,14.08739294052124,-9.162737381416195
facts,10,shard_10,50,2.277812659740448,1.003564857840538,13.263889408111572,-8.621617186226123
facts,11,shard_11,50,2.2100086581707,0.9548243898898363,13.577306804656983,-9.056278375807928
facts,12,shard_12,50,2.1513053393363952,0.942778303027153,13.466031665802001,-9.362410592832079
facts,13,shard_13,50,2.2312192833423614,0.8766026773676276,13.190614681243897,-8.090403845312043
facts,14,shard_14,50,2.039101217985153,0.8842262038588524,13.73196252822876,-10.124785078227383
facts,15,shard_15,50,2.247304229736328,0.8852302569150925,13.688373126983642,-8.399741222240424
facts,16,shard_16,50,2.1589431405067443,0.9023845356702804,13.478428020477295,-9.008322283100943
facts,17,shard_17,50,2.419995656013489,1.0534681230783463,13.396193504333496,-8.03218199690745
facts,18,shard_18,50,2.1690878403186797,1.0077540268003942,13.486210460662841,-9.744935081205202
facts,19,shard_19,50,1.9912149840593338,0.8154996244749054,13.910734214782714,-10.138099441804085
