domain,adapter,name,n_probes,base_nll,isolated_nll,merged_nll,retention
skills,0,a0,50,4.939843518733978,3.0964743959903718,4.235740685462952,0.3819651878637655
skills,1,a1,50,4.025161306063334,2.950558831294378,3.7974141041437783,0.2119362343442607
skills,2,a2,50,5.763292441368103,0.5956573414802552,10.063486404418946,-0.8321396305912097
skills,3,a3,50,3.3856030881404875,2.517822259068489,2.735895940065384,0.7486995867031286
skills,4,a4,50,10.540666809082031,0.7034607130289078,9.705846643447876,0.0848635433153222
skills,5,a5,50,1.2771389305591583,0.5667111848667264,1.0162069326639176,0.367288579982076
skills,6,a6,50,1.5158503639698029,0.3471400303021073,0.7522502103447914,0.6533698998182462
skills,7,a7,50,2.526634542942047,1.6680014854669571,1.8099775278568269,0.8346487581000355
skills,8,a8,50,11.044462548925521,0.5913777931573543,9.049222479475306,0.1908757190884932
skills,9,a9,50,10.879421570084311,1.059522702951323,11.032502900470387,-0.01558889072660782
skills,10,a10,50,2.095833055973053,0.32771691581067897,1.8153677821159362,0.15862378465215557
skills,11,a11,50,1.5763538873195648,0.9702379511296749,1.3265306642651558,0.4121706890348813
skills,12,a12,50,4.206235454082489,2.911256844997406,3.340315144062042,0.6686753772961774
skills,13,a13,50,4.352862028514638,2.6997348543475654,3.834940864759333,0.3132978344610778
skills,14,a14,50,13.988812078129161,0.5885446068238128,13.716332110491665,0.020333920066966632
skills,15,a15,50,11.226788358688355,0.599766872250475,8.665993661880494,0.2409701250793486
skills,16,a16,50,5.6891880702972415,0.29932302989065646,3.731106551885605,0.3632895264969248
skills,17,a17,50,6.3708458995819095,0.32792330301832406,6.656198334693909,-0.04722093168531897
skills,18,a18,50,2.610834438800812,1.2723648923635482,1.5106498908996582,0.8219720432411954
skills,19,a19,50,2.170443549156189,1.3802158707380294,1.8742544913291932,0.37481483617467454
facts,0,shard_0,50,2.150079618692398,1.0084941190481187,1.7764003935456276,0.32733354204587367
facts,1,shard_1,50,2.268373383283615,1.0588464140892029,1.8473953199386597,0.34805182031231735
facts,2,shard_2,50,2.3624398851394655,1.047473264336586,1.8680282282829284,0.3759879901397528
facts,3,shard_3,50,1.971928346157074,0.8415632972121239,1.5983307868242265,0.33051053700001837
facts,4,shard_4,50,2.1657077622413636,0.9503261637687683,1.7491502985358238,0.3427380044498283
facts,5,shard_5,50,2.0085702085494996,0.8949193713068962,1.6704439681768417,0.30361961672821763
facts,6,shard_6,50,2.220139592885971,0.9582637432217598,1.6810485410690308,0.42721401789280133
facts,7,shard_7,50,2.210574663877487,1.016792530193925,1.7992591208219528,0.34454824833604214
facts,8,shard_8,50,2.2921394991874693,0.9922924065589904,1.776316829919815,0.3968333446240866
facts,9,shard_9,50,2.2042907238006593,0.9598284514248371,1.7541237756609918,0.3617361153747528
facts,10,shard_10,50,2.277812659740448,1.0663267409801482,1.9740459382534028,0.25073896178495114
facts,11,shard_11,50,2.2100086581707,0.9902028887718916,1.8426710230112076,0.3011443660743939
facts,12,shard_12,50,2.1513053393363952,0.9965999303758144,1.7846735537052154,0.317511100914654
facts,13,shard_13,50,2.2312192833423614,0.8826686929166317,1.865325523018837,0.2713237181617442
facts,14,shard_14,50,2.039101217985153,0.8887244209647178,1.7092253255844116,0.28675464704707665
facts,15,shard_15,50,2.247304229736328,0.926313602924347,1.892872792482376,0.2683073066985499
facts,16,shard_16,50,2.1589431405067443,0.9196978349983692,1.828466923236847,0.2666753836395017
facts,17,shard_17,50,2.419995656013489,1.1128598925471307,2.0236874234676363,0.30318827135055465
facts,18,shard_18,50,2.1690878403186797,1.0468710357695818,1.8560216933488847,0.27897118070298704
facts,19,shard_19,50,1.9912149840593338,0.8325283880066127,1.721935555934906,0.23240057237373554
