label,kind,method,n,seed,svd_rank,probe_author,forget_rouge,forget_truth_ratio,forget_ppl,iso_forget_rouge,drop_rouge,flags
nmerge_cr16_N6_s42,merge,centered_lowrank_r16,6,42,,111,0.3744,nan,4.45,0.4023,0.0279,
nmerge_cr16_N6_s42,merge,centered_lowrank_r16,6,42,,177,0.5602,nan,3.84,0.575,0.0148,
nmerge_cr16_N8_s42,merge,centered_lowrank_r16,8,42,,15,0.5011,0.7306,4.06,0.5184,0.0173,
nmerge_cr16_N8_s42,merge,centered_lowrank_r16,8,42,,76,0.3958,nan,4.35,0.4415,0.0457,
nmerge_cr16_N8_s42,merge,centered_lowrank_r16,8,42,,82,0.4856,nan,4.18,0.5102,0.0246,
nmerge_cr16_N8_s42,merge,centered_lowrank_r16,8,42,,111,0.3676,nan,4.35,0.4023,0.0347,
nmerge_cr16_N8_s42,merge,centered_lowrank_r16,8,42,,177,0.5495,nan,3.67,0.575,0.0255,
nmerge_cr16_svd1024_N128_s42,merge,centered_lowrank_r16,128,42,1024,15,0.4613,0.8122,5.28,0.5184,0.0571,
nmerge_cr16_svd1024_N128_s42,merge,centered_lowrank_r16,128,42,1024,76,0.4052,nan,5.13,0.4415,0.0363,
nmerge_cr16_svd1024_N128_s42,merge,centered_lowrank_r16,128,42,1024,82,0.4628,nan,4.38,0.5102,0.0474,
nmerge_cr16_svd1024_N128_s42,merge,centered_lowrank_r16,128,42,1024,111,0.3366,nan,5.79,0.4023,0.0657,
nmerge_cr16_svd1024_N128_s42,merge,centered_lowrank_r16,128,42,1024,177,0.4841,nan,4.28,0.575,0.0909,
nmerge_cr16_svd1024_N200_s42,merge,centered_lowrank_r16,200,42,1024,15,0.3972,0.8049,6.36,0.5184,0.1212,
nmerge_cr16_svd1024_N200_s42,merge,centered_lowrank_r16,200,42,1024,76,0.352,nan,6.21,0.4415,0.0895,
nmerge_cr16_svd1024_N200_s42,merge,centered_lowrank_r16,200,42,1024,82,0.3976,nan,5.28,0.5102,0.1126,
nmerge_cr16_svd1024_N200_s42,merge,centered_lowrank_r16,200,42,1024,111,0.3217,nan,7.21,0.4023,0.0806,
nmerge_cr16_svd1024_N200_s42,merge,centered_lowrank_r16,200,42,1024,177,0.3805,nan,5.03,0.575,0.1945,
nmerge_cr16_svd1024_N64_s42,merge,centered_lowrank_r16,64,42,1024,15,0.4624,0.7933,4.39,0.5184,0.056,
nmerge_cr16_svd1024_N64_s42,merge,centered_lowrank_r16,64,42,1024,76,0.4109,nan,4.26,0.4415,0.0306,
nmerge_cr16_svd1024_N64_s42,merge,centered_lowrank_r16,64,42,1024,82,0.5288,nan,3.77,0.5102,-0.0186,
nmerge_cr16_svd1024_N64_s42,merge,centered_lowrank_r16,64,42,1024,111,0.3536,nan,4.73,0.4023,0.0487,
nmerge_cr16_svd1024_N64_s42,merge,centered_lowrank_r16,64,42,1024,177,0.5098,nan,3.58,0.575,0.0652,
retain90_oracle,anchor,,,,,82,0.5708,nan,2.04,0.5102,-0.0606,
