label,n,svd_rank,n_retain_authors,retain_prob,retain_rouge,retain_ppl,retain_truth_scaled,model_utility,flags
iso_a82,1,,1,0.9992,1.0,1.06,nan,nan,mu_nan
nmerge_add_N12_s42,12,,12,0.214,0.4418,5.32,0.3165,0.516,
nmerge_add_N16_s42,16,,16,0.1879,0.4259,6.03,0.2967,0.4923,
nmerge_add_N20_s42,20,,20,0.2151,0.4397,5.94,0.2856,0.5108,
nmerge_add_N2_s42,2,,2,0.8854,0.7782,1.25,0.506,0.7257,
nmerge_add_N3_s42,3,,3,0.6146,0.5522,1.9,0.4636,0.6672,
nmerge_add_N4_s42,4,,4,0.4969,0.5358,2.43,0.4365,0.652,
nmerge_add_N6_s42,6,,6,0.3378,0.4672,3.62,0.3839,0.5935,
nmerge_add_N8_s42,8,,8,0.2819,0.4695,4.01,0.3451,0.5584,
